sequence,system_time,ros_time,message_stamp,source_frame,world_frame,odom_valid,graph_initialized,start_x,start_y,start_z,source_goal_x,source_goal_y,source_goal_z,goal_x,goal_y,goal_z,session_id,selection_in_session,odom_stamp,semantic_map_stamp,odom_age_wall_s,semantic_map_age_wall_s,start_heading_x,start_heading_y,start_heading_z,nav_graph_nodes,static_global_nodes,static_candidate_nodes,dynamic_local_nodes,current_static_points,current_dynamic_points,semantic_graph_dirty,planner_running,previous_waypoint_valid,previous_waypoint_x,previous_waypoint_y,previous_waypoint_z
31,2026-08-11T20:39:42.325,375.664000000,375.283000000,world,world,1,1,44.6602,37.6389,0.2119,24.1000,45.4704,0.0000,24.1000,45.4704,0.0000,2026-08-11T20:32:01.169,4,375.658000000,375.100000000,0.000002986,0.418809080,0.1570,0.9876,0.0000,116,122,2,0,1154,0,0,1,1,45.7351,43.0255,0.7000
32,2026-08-11T20:40:00.456,390.090000000,389.854000000,world,world,1,1,35.3366,43.5969,0.2421,-21.7821,25.7158,0.0000,-21.7821,25.7158,0.0000,2026-08-11T20:32:01.169,5,390.050000000,389.900000000,0.036619439,0.000588010,-0.9845,0.1753,0.0000,120,126,1,0,1503,0,1,1,1,24.1000,45.4704,0.0000
33,2026-08-11T20:41:53.834,480.122000000,479.887000000,world,world,1,1,-21.4133,25.3084,0.2072,-9.9563,4.9086,0.0000,-9.9563,4.9086,0.0000,2026-08-11T20:32:01.169,6,480.053000000,479.900000000,0.071053272,0.002021579,0.5332,-0.8460,0.0000,139,156,0,0,990,0,1,1,1,-21.7821,25.7158,0.7000
34,2026-08-12T10:21:39.130,75.986000000,1786501298.415913820,world,world,1,1,3.9759,18.0001,0.2912,4.0000,12.0000,0.3000,4.0000,12.0000,0.3000,2026-08-12T10:20:22.681,1,75.567000000,75.500000000,0.494614059,0.493938902,1.0000,-0.0001,0.0000,13,4,0,8,152,15,0,0,0,0.0000,0.0000,0.0000
35,2026-08-12T10:22:02.522,95.586000000,1786501321.858464003,world,world,1,1,3.9759,18.0001,0.2912,4.0000,28.0000,0.3000,4.0000,28.0000,0.3000,2026-08-12T10:20:22.681,2,95.179000000,95.000000000,0.464375601,0.463621172,1.0000,-0.0001,0.0000,18,4,0,12,152,20,0,1,1,4.0000,12.0000,0.3000
36,2026-08-12T10:22:19.390,109.586000000,1786501338.887870312,world,world,1,1,3.9759,18.0001,0.2912,0.0000,16.0000,0.3000,0.0000,16.0000,0.3000,2026-08-12T10:20:22.681,3,109.575000000,109.500000000,0.000937358,0.000109948,1.0000,-0.0001,0.0000,11,4,0,5,152,21,1,1,1,4.0000,28.0000,0.3000
37,2026-08-12T10:25:36.135,39.061000000,38.738000000,world,world,1,1,3.9759,18.0001,0.2912,34.2115,-17.3665,0.0000,34.2115,-17.3665,0.0000,2026-08-12T10:25:02.118,1,39.059000000,38.900000000,0.001028899,0.000215316,1.0000,-0.0001,0.0000,10,4,0,5,152,28,1,0,0,0.0000,0.0000,0.0000
38,2026-08-12T10:27:15.664,120.260000000,120.010000000,world,world,1,1,38.4974,-14.6334,0.2627,10.8294,-39.9361,0.0000,10.8294,-39.9361,0.0000,2026-08-12T10:25:02.118,2,120.253000000,120.100000000,0.009952066,0.001478620,0.5668,0.8238,0.0000,57,50,0,7,912,34,1,1,1,39.0249,-14.6345,0.7000
39,2026-08-12T10:30:56.595,299.098000000,298.769000000,world,world,1,1,11.4271,-40.0319,0.1726,14.0287,45.7928,0.0000,14.0287,45.7928,0.0000,2026-08-12T10:25:02.118,3,299.077000000,298.900000000,0.000002370,0.003100495,0.9940,0.1094,0.0000,93,100,7,0,1282,35,1,1,1,10.8294,-39.9361,0.7000
40,2026-08-12T10:41:39.294,82.207000000,81.999000000,world,world,1,1,3.9759,18.0001,0.2912,18.4322,-26.7125,0.0000,18.4322,-26.7125,0.0000,2026-08-12T10:40:08.240,1,82.185000000,82.100000000,0.000928544,0.000122203,1.0000,-0.0001,0.0000,10,4,0,5,152,26,1,0,0,0.0000,0.0000,0.0000
